coat, el abrigo
to run out of, acabar
ring, el anillo
earrings, los aretes
cheap, barato/a
blouse, la blusa
handbag, el bolso
boots, las botas
bracelet, el brazalete
to drop, caer
socks, los calcetines
shirt, la camisa
t-shirt, la camiseta
expensive, caro/a
wallet, la cartera
mall, el centro comercial
jacket, la chaqueta
small, chico/a
belt, el cinturón
light, claro/a
necklace, el collar
comfortable, cómodo/a
to manage to, conseguir
tie, la corbata
How much does it cost?, ¿Cuánto cuesta(n)?
How much is it worth?, ¿Cuánto vale(n)?
of cotton, de algodón
of clay, de arcilla
of plaid, de cuandros
of leather, de cuero/piel
of diamond, de diamantes
of wool, de lana
of polka-dots, de lunares
of wood, de madera
of short sleeves, de manga corta
of long sleeves, de manga larga
of name brand, de marca
of gold, de oro
of pearls, de perlas
of silver, de plata
of stripes, de rayas
of silk, de seda
of fashionable, de última modo
too much, demasiado
to break down, descomponer
discount, el secuento
skirt, la falda
flower shop, la floristería
cap, la gorra
large, grande
gloves, los guantes
there was/were, hubo
to go shopping, ir de compras
jewelry store, la joyería
toy store, la juguetería
medium, mediano/a
to die, morir(se)
to forget, olvidar
dark, oscuro/a
pants, los pantalones
shorts, los pantalones cortos
high price, el precio alto
low price, el precio bajo
fixed price, el precio fijo
piece/article of clothing, la prenda de ropa
stall, el puesto
price reduction, la rebaja
to reduce, rebajar
to haggle, regatear
to break, romper
hat, el sombrero
woven goods, los tejidos
suit, el traje
bathing suit, el traje de baño
sale, la venta
dress, el vestido
shoe store, la zapatería
shoes, los zapatos
high-heeled shoes, los zapatos de tacón alto
tennis shoes, los zapatos de tenis
