to love each other,amarse
to ger married (to), casarse (con)
to argue, discutir
to fall in love (with), enamorarse (de)
to yell, gritar
to cry, llorar
to fight, pelear, pelearse
to complain, quejarse
to love each other, quererse
to laugh, reírse
to break up with, romper con
to smile, sonreír
to be fond of (someone), tenerle cariño a
friendship, la amistad
love, el amor
affection, el cariño
date, la cita
engagement, el compromiso
honeymoon, la luna de miel
girlfriend, la novia
courtship, el noviazgo
boyfriend, el novio
(domestic) partner, la pareja (de hecho)
friendly, amable
jealous, celoso, celosa
in love (with), enamorado (de), enamorada (de)
adolescence, la adolescencia
infancy, la infancia
youth, la juventud
maturity, la madurez
childhood, la niñez
old age, la vejez
to camp, acampar
to help, ayudar
to draw, dibujar
to write poetry, escribir poesía
to go on vacation, ir de vacaciones
to go boating, pasear en barco
to fish, pescar
to paint, pintar
mountain climbing, el alpinismo
hike, la caminata
cycling, el ciclismo
story, el cuento
cartoons, los dibujos animados
disco; dance club, la discoteca
toy, el juguete
doll, la muñeca
zoo, el parque zoológico
for heaven't sake, por dios
for the first time, por primera vez
for the last time, por ultima vez
of course, por supuesto
everywhere, por todas partes
someone, alguien
something, algo
some, algún
never, jamás
nothing, nada
no one, nadie
none; not any, ningún
neither;nor, tampoco
to remember, acordarse
past, el pasado
memory, el recuerdo
